Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      0      0      388.4601      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1      1      390.6705       196.4404         3.2107         0.9250         0.0722         0.2870         2.2134         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       348.1199       336.3755       103.0430       336.3755         7.3762         7.3168         8.4827         8.4827         0.2163         0.1942         0.0000
      1      2      390.8252       196.5952         0.0000         0.1355         0.6318         0.1577         0.1577         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       347.0673       335.3319       102.9551       335.3319         7.3762         7.1056         8.2984         8.2984         0.2178         0.1943         0.0000
      1      3      390.8221       196.5921         0.0000         0.0200         0.1155         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       346.0094       334.2916       103.1951       334.2916         7.3762         6.8929         8.1480         8.1480         0.2177         0.1944         0.0000
      1      4      390.8191       196.5891         0.0000         0.0031         0.0169         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       345.2270       333.5106       103.0943       333.5106         7.3762         6.7355         8.0077         8.0077         0.2176         0.1945         0.0000
      1      5      390.8161       196.5861         0.0000         0.0005         0.0026         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       344.4757       332.7639       103.0037       332.7639         7.3762         6.5790         7.8687         7.8687         0.2175         0.1945         0.0000
      1      6      390.8131       196.5830         0.0000         0.0001         0.0004         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       357.4553       345.7291       102.5424       345.7291         7.3762         6.4899         7.7463         7.7463         0.2174         0.1946         0.0000
      1      7      390.8100       196.5800         0.0000         0.0000         0.0001         0.0000         0.0000         0.1109         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       334.1267       402.3554       163.9576       385.4568         7.3762         6.6359         7.6979         7.6979         0.2172         0.1947         1.3205
      1      8      390.8070       196.5770         0.0000         0.0000         0.0000         0.0000         0.0000         0.2326         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       315.1390       508.3166       259.4030       464.6694         7.3762         7.0751         7.8396         7.8396         0.2171         0.1948         1.3519
      1      9      390.8040       196.5739         0.0000         0.0000         0.0000         0.0000         0.0000         0.3533         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       282.4178       636.8689       386.3095       561.4865         7.3762         7.7190         8.2171         8.2171         0.2170         0.1949         1.4152
