Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters. WD2                  
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      0      0      183.9400      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1      1      183.9400        96.8850         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       348.7425       336.3755        94.2949       336.3755         6.6521         7.3168         8.4827         8.4827         0.0943         0.0981         0.0000
      1      2      183.9400        96.8850         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       347.6894       335.3319        94.1997       335.3319         6.6521         7.1056         8.2984         8.2984         0.0943         0.0981         0.0000
      1      3      183.9400        96.8850         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       346.6303       334.2916        94.3779       334.2916         6.6521         6.8929         8.1480         8.1480         0.0943         0.0981         0.0000
      1      4      183.9400        96.8850         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       345.8480       333.5106        94.2781       333.5106         6.6521         6.7355         8.0077         8.0077         0.0943         0.0981         0.0000
      1      5      185.2443        98.1893         2.0200         0.6585         0.0572         0.0923         1.3043         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       345.0966       332.7639        94.1866       332.7639         6.6521         6.5790         7.8687         7.8687         0.1073         0.0981         0.0000
      1      6      185.3005        98.2455         0.0000         0.1117         0.4907         0.0561         0.0561         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       358.0769       345.7291        93.7933       345.7291         6.6521         6.4899         7.7463         7.7463         0.1079         0.0981         0.0000
      1      7      185.3005        98.2455         0.0000         0.0166         0.0951         0.0000         0.0000         0.0866         0.0000         0.0000         0.0000         0.0000         0.6904         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       349.1817       402.3554       141.0950       385.2358         6.6521         6.6359         7.6979         7.6979         0.1079         0.0981         0.9939
      1      8      188.1850       101.1300         4.0400         1.0229         0.1493         0.4605         2.8845         0.1817         0.0000         0.0000         0.0000         0.0000         0.6904         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       358.3729       508.3166       210.1212       464.1053         6.6521         7.0751         7.8396         7.8396         0.1367         0.0981         0.9760
      1      9      188.3666       101.3116         0.0000         0.0960         0.7452         0.1817         0.1817         0.2980         0.0000         0.0000         0.0000         0.0000         1.7796         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       339.7501       636.8689       325.5750       560.4935         6.6521         7.7190         8.2171         8.2171         0.1386         0.0981         1.1339
