Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters. WD1                  
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      0      0       91.9700      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1      1       91.9700        48.4425         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       349.1218       336.3755        96.8815       336.3755         6.6521         7.3168         8.4827         8.4827         0.0472         0.0490         0.0000
      1      2       91.9700        48.4425         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       348.0683       335.3319        96.7948       335.3319         6.6521         7.1056         8.2984         8.2984         0.0472         0.0490         0.0000
      1      3       91.9700        48.4425         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       347.0087       334.2916        96.9949       334.2916         6.6521         6.8929         8.1480         8.1480         0.0472         0.0490         0.0000
      1      4       91.9700        48.4425         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       346.2263       333.5106        96.9010       333.5106         6.6521         6.7355         8.0077         8.0077         0.0472         0.0490         0.0000
      1      5       91.9700        48.4425         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       345.4750       332.7639        96.8152       332.7639         6.6521         6.5790         7.8687         7.8687         0.0472         0.0490         0.0000
      1      6       91.9700        48.4425         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       358.4556       345.7291        96.4101       345.7291         6.6521         6.4899         7.7463         7.7463         0.0472         0.0490         0.0000
      1      7       97.0509        53.5234         6.3937         1.2123         0.1005         1.2447         5.0809         0.0001         0.0000         0.0000         0.0000         0.0000         0.0001         0.0100        -0.0000         0.3040         0.0012         0.0000         0.0000         0.0000         0.0000       357.9704       402.3554       135.2532       385.0946         6.6521         6.6359         7.6979         7.6979         0.0980         0.0490         0.7993
      1      8       99.3503        55.8228         2.1312         0.8914         0.1527         1.0207         2.2994         0.1515         0.0000         0.0000         0.0000         0.0000         0.2950         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       383.8633       508.3166       188.3143       463.7468         6.6521         7.0751         7.8396         7.8396         0.1210         0.0490         0.7503
      1      9       99.4756        55.9482         0.0000         0.0886         0.6775         0.1253         0.1253         0.2448         0.0000         0.0000         0.0000         0.0000         1.3252         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       400.3156       636.8689       270.0333       559.8602         6.6521         7.7190         8.2171         8.2171         0.1222         0.0490         0.8232
