Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters. WD1                  
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      0      0       91.9700      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1      1       91.9700        48.4425         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       347.8209       336.3755        95.2556       336.3755         7.3762         7.3168         8.4827         8.4827         0.0472         0.0490         0.0000
      1      2       91.9700        48.4425         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       346.7686       335.3319        95.1302       335.3319         7.3762         7.1056         8.2984         8.2984         0.0472         0.0490         0.0000
      1      3       93.3517        49.8242         2.1312         0.6899         0.0597         0.1029         1.3817         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       345.7111       334.2916        95.2758       334.2916         7.3762         6.8929         8.1480         8.1480         0.0610         0.0490         0.0000
      1      4       95.2089        51.6814         2.1312         0.8859         0.0780         0.5785         1.8572         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       344.9287       333.5106        95.1502       333.5106         7.3762         6.7355         8.0077         8.0077         0.0795         0.0490         0.0000
      1      5       95.3561        51.8286         0.0000         0.1532         0.5855         0.1472         0.1472         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       344.1775       332.7639        95.0351       332.7639         7.3762         6.5790         7.8687         7.8687         0.0810         0.0490         0.0000
      1      6       95.3561        51.8286         0.0000         0.0258         0.1274         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       357.1567       345.7291        94.6260       345.7291         7.3762         6.4899         7.7463         7.7463         0.0810         0.0490         0.0000
      1      7       96.7295        53.2020         2.1312         0.6577         0.1260         0.0946         1.3734         0.0449         0.0000         0.0000         0.0000         0.0000         0.0344         0.0100        -0.0000         0.3040         0.2316         0.0000         0.0000         0.0000         0.0000       288.6805       402.3554       201.1981       385.5593         7.3762         6.6359         7.6979         7.6979         0.0947         0.0490         2.3780
      1      8       96.7722        53.2447         0.0000         0.0604         0.5546         0.0427         0.0427         0.2305         0.0000         0.0000         0.0000         0.0000         0.1921         0.0100        -0.0000         0.3040         0.6130         0.0000         0.0000         0.0000         0.0000       205.8136       508.3166       358.5482       464.9321         7.3762         7.0751         7.8396         7.8396         0.0952         0.0490         2.3460
      1      9       98.1128        54.5853         2.1312         0.5047         0.3464         0.0618         1.3406         0.2745         0.0000         0.0000         0.0000         0.0000         0.2013         0.0100        -0.0000         0.3040         0.4539         0.0000         0.0000         0.0000         0.0000       104.7685       636.8689       550.1989       561.9478         7.3762         7.7190         8.2171         8.2171         0.1086         0.0490         2.3387
      1     10       98.1224        54.5949         0.0000         0.0145         0.4805         0.0096         0.0096         0.5657         0.0000         0.0000         0.0000         0.0000         0.6761         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        86.6452       753.3649       657.2482       653.6075         7.3762         8.4408         8.8662         8.8662         0.1087         0.0490         2.0851
      1     11       98.1224        54.5949         0.0000         0.0002         0.0143         0.0000         0.0000         0.6542         0.0000         0.0000         0.0000         0.0000         0.6807         0.0100        -0.0000         0.3040         0.9829         0.0000         0.0000         0.0000         0.0000        47.5038       830.0387       761.3884       716.3124         7.3762         9.1161         9.8758         9.8758         0.1087         0.0490         2.0877
      1     12       98.1224        54.5949         0.0000         0.0000         0.0002         0.0000         0.0000         0.7155         0.0000         0.0000         0.0000         0.0000         0.6807         0.0100        -0.0000         0.3040         0.9438         0.0000         0.0000         0.0000         0.0000         1.1903       864.4938       838.7465       745.3274         7.3762         9.6553        10.6129        10.6129         0.1087         0.0490         2.1854
      1     13       98.1224        54.5949         0.0000         0.0000         0.0000         0.0000         0.0000         0.7257         0.0000         0.0000         0.0000         0.0000         0.6807         0.0100        -0.0000         0.3040         0.9091         0.0000         0.0000         0.0000         0.0000        -4.5750       850.4918       836.0211       734.3655         7.3762        10.1003        11.1931        11.1931         0.1087         0.0490         2.2446
      1     14       98.1224        54.5949         0.0000         0.0000         0.0000         0.0000         0.0000         0.7152         0.0000         0.0000         0.0000         0.0000         0.6807         0.0100        -0.0000         0.3040         0.8942         0.0000         0.0000         0.0000         0.0000        -2.0086       811.4905       802.9417       702.4110         7.3762        10.3990        11.6157        11.6157         0.1087         0.0490         2.3281
      1     15       99.4239        55.8964         2.1312         0.4208         0.4089         0.0228         1.3016         0.6690         0.0000         0.0000         0.0000         0.0000         0.6807         0.0100        -0.0000         0.3040         0.9215         0.0000         0.0000         0.0000         0.0000        34.9670       719.8866       695.7672       629.5580         7.3762        10.4982        11.7530        11.7530         0.1217         0.0490         2.4663
